@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute inputs-33 numeric
@attribute inputs-34 numeric
@attribute inputs-35 numeric
@attribute inputs-36 numeric
@attribute inputs-37 numeric
@attribute inputs-38 numeric
@attribute inputs-39 numeric
@attribute inputs-40 numeric
@attribute inputs-41 numeric
@attribute inputs-42 numeric
@attribute inputs-43 numeric
@attribute inputs-44 numeric
@attribute inputs-45 numeric
@attribute inputs-46 numeric
@attribute inputs-47 numeric
@attribute inputs-48 numeric
@attribute inputs-49 numeric
@attribute inputs-50 numeric
@attribute inputs-51 numeric
@attribute inputs-52 numeric
@attribute inputs-53 numeric
@attribute inputs-54 numeric
@attribute inputs-55 numeric
@attribute inputs-56 numeric
@attribute inputs-57 numeric
@attribute inputs-58 numeric
@attribute inputs-59 numeric
@attribute inputs-60 numeric
@attribute inputs-61 numeric
@attribute inputs-62 numeric
@attribute inputs-63 numeric
@attribute inputs-64 numeric
@attribute inputs-65 numeric
@attribute inputs-66 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric

@data
138,'2024/11/04 18:09:32:553',3,0.489062,0.241667,0.50625,0.216667,0.514063,0.21875,0.521875,0.220833,0.479688,0.21875,0.470313,0.220833,0.460938,0.220833,0.5375,0.25,0.448438,0.245833,0.50625,0.283333,0.473437,0.279167,0.589063,0.516667,0.342187,0.414583,0.742188,0.733333,0.24375,0.222917,0.754687,0.695833,0.378125,0.210417,0.7625,0.6875,0.410937,0.220833,0.746875,0.65625,0.41875,0.233333,0.734375,0.6625,0.4125,0.241667,0.507813,0.958333,0.351563,0.933333,0.482812,1.383333,0.315625,1.3625,0.448438,1.75625,0.284375,1.716667,0.45625,1.816667,0.273438,1.758333,0.420312,1.858333,0.303125,1.852083,0.339184,0.339592
139,'2024/11/04 18:09:32:595',3,0.489062,0.239583,0.50625,0.216667,0.514063,0.21875,0.521875,0.220833,0.479688,0.21875,0.470313,0.220833,0.460938,0.220833,0.5375,0.25,0.448438,0.245833,0.50625,0.283333,0.473437,0.279167,0.589063,0.516667,0.342187,0.414583,0.746875,0.7375,0.24375,0.222917,0.753125,0.683333,0.379687,0.210417,0.754687,0.677083,0.410937,0.220833,0.7375,0.64375,0.420312,0.233333,0.726563,0.652083,0.414063,0.241667,0.507813,0.958333,0.351563,0.933333,0.484375,1.383333,0.317187,1.360417,0.451562,1.75625,0.285937,1.716667,0.457812,1.816667,0.275,1.758333,0.423438,1.858333,0.30625,1.85,0.339184,0.339592
140,'2024/11/04 18:09:32:636',3,0.489062,0.239583,0.50625,0.216667,0.514063,0.21875,0.521875,0.21875,0.479688,0.216667,0.470313,0.21875,0.460938,0.220833,0.5375,0.25,0.448438,0.245833,0.50625,0.283333,0.473437,0.277083,0.589063,0.516667,0.342187,0.414583,0.751562,0.7375,0.24375,0.220833,0.746875,0.683333,0.379687,0.210417,0.74375,0.679167,0.410937,0.220833,0.725,0.645833,0.41875,0.233333,0.715625,0.654167,0.414063,0.241667,0.507813,0.960417,0.351563,0.933333,0.482812,1.3875,0.315625,1.3625,0.446875,1.758333,0.28125,1.71875,0.453125,1.816667,0.270312,1.760417,0.420312,1.860417,0.3,1.852083,0.339184,0.339592
141,'2024/11/04 18:09:32:678',3,0.489062,0.239583,0.50625,0.216667,0.514063,0.21875,0.521875,0.21875,0.479688,0.216667,0.470313,0.21875,0.460938,0.220833,0.5375,0.25,0.45,0.24375,0.50625,0.283333,0.473437,0.277083,0.589063,0.516667,0.342187,0.410417,0.746875,0.733333,0.24375,0.21875,0.748438,0.7125,0.379687,0.210417,0.751562,0.7,0.410937,0.220833,0.748438,0.66875,0.420312,0.235417,0.735937,0.675,0.414063,0.241667,0.507813,0.958333,0.353125,0.933333,0.482812,1.383333,0.315625,1.358333,0.446875,1.754167,0.28125,1.7125,0.451562,1.810417,0.270312,1.754167,0.41875,1.85625,0.3,1.847917,0.339184,0.339592
142,'2024/11/04 18:09:32:718',3,0.489062,0.239583,0.50625,0.216667,0.514063,0.21875,0.521875,0.21875,0.479688,0.216667,0.470313,0.21875,0.460938,0.21875,0.5375,0.25,0.45,0.24375,0.504687,0.283333,0.471875,0.277083,0.589063,0.516667,0.342187,0.410417,0.75,0.7375,0.24375,0.216667,0.75,0.7125,0.38125,0.210417,0.753125,0.702083,0.410937,0.220833,0.74375,0.66875,0.420312,0.235417,0.73125,0.675,0.414063,0.24375,0.507813,0.95625,0.351563,0.93125,0.479688,1.383333,0.3125,1.358333,0.440625,1.754167,0.271875,1.7125,0.445313,1.8125,0.260938,1.754167,0.410937,1.85625,0.289063,1.847917,0.339184,0.339592
143,'2024/11/04 18:09:32:759',3,0.4875,0.239583,0.50625,0.216667,0.514063,0.21875,0.521875,0.21875,0.479688,0.216667,0.470313,0.216667,0.460938,0.21875,0.5375,0.25,0.45,0.24375,0.504687,0.283333,0.471875,0.277083,0.589063,0.514583,0.34375,0.408333,0.742188,0.73125,0.245312,0.216667,0.770312,0.73125,0.38125,0.2125,0.784375,0.716667,0.410937,0.222917,0.784375,0.679167,0.420312,0.2375,0.76875,0.685417,0.415625,0.24375,0.507813,0.952083,0.353125,0.929167,0.482812,1.377083,0.317187,1.352083,0.445313,1.75,0.28125,1.710417,0.45,1.80625,0.270312,1.752083,0.415625,1.852083,0.298438,1.841667,0.339184,0.339592
144,'2024/11/04 18:09:32:799',3,0.4875,0.239583,0.50625,0.216667,0.514063,0.21875,0.521875,0.21875,0.479688,0.216667,0.470313,0.216667,0.460938,0.21875,0.5375,0.25,0.45,0.24375,0.504687,0.28125,0.471875,0.275,0.589063,0.5125,0.34375,0.40625,0.74375,0.725,0.24375,0.216667,0.74375,0.660417,0.382813,0.210417,0.74375,0.654167,0.4125,0.220833,0.729688,0.620833,0.421875,0.235417,0.71875,0.629167,0.415625,0.24375,0.507813,0.95,0.351563,0.929167,0.482812,1.377083,0.317187,1.35,0.445313,1.745833,0.28125,1.708333,0.45,1.802083,0.270312,1.75,0.417188,1.85,0.298438,1.839583,0.339184,0.339592
145,'2024/11/04 18:09:32:841',3,0.489062,0.2375,0.50625,0.216667,0.514063,0.216667,0.521875,0.21875,0.479688,0.214583,0.470313,0.216667,0.460938,0.216667,0.5375,0.25,0.45,0.241667,0.504687,0.28125,0.471875,0.275,0.589063,0.5125,0.34375,0.40625,0.74375,0.725,0.24375,0.216667,0.745313,0.66875,0.382813,0.20625,0.746875,0.654167,0.4125,0.21875,0.732813,0.622917,0.420312,0.233333,0.721875,0.63125,0.415625,0.241667,0.507813,0.947917,0.351563,0.927083,0.482812,1.372917,0.317187,1.345833,0.445313,1.741667,0.28125,1.704167,0.45,1.8,0.270312,1.745833,0.417188,1.845833,0.298438,1.835417,0.339184,0.339592
146,'2024/11/04 18:09:32:881',3,0.489062,0.2375,0.50625,0.214583,0.514063,0.216667,0.521875,0.21875,0.479688,0.214583,0.470313,0.216667,0.460938,0.216667,0.539063,0.25,0.45,0.241667,0.504687,0.28125,0.471875,0.275,0.589063,0.5125,0.34375,0.40625,0.745313,0.725,0.24375,0.216667,0.764063,0.714583,0.382813,0.20625,0.775,0.689583,0.4125,0.21875,0.767187,0.658333,0.420312,0.233333,0.754687,0.664583,0.415625,0.241667,0.507813,0.947917,0.351563,0.929167,0.482812,1.372917,0.317187,1.347917,0.445313,1.74375,0.28125,1.704167,0.45,1.802083,0.270312,1.745833,0.417188,1.85,0.3,1.835417,0.339184,0.339592
147,'2024/11/04 18:09:32:925',3,0.489062,0.2375,0.50625,0.214583,0.514063,0.216667,0.521875,0.21875,0.479688,0.214583,0.470313,0.216667,0.460938,0.216667,0.5375,0.247917,0.45,0.241667,0.504687,0.28125,0.471875,0.275,0.589063,0.5125,0.342187,0.40625,0.742188,0.725,0.24375,0.216667,0.778125,0.73125,0.38125,0.204167,0.804688,0.7125,0.410937,0.21875,0.8,0.714583,0.41875,0.233333,0.776563,0.716667,0.4125,0.239583,0.507813,0.95,0.351563,0.929167,0.484375,1.372917,0.315625,1.345833,0.448438,1.74375,0.282813,1.702083,0.453125,1.8,0.271875,1.74375,0.423438,1.85,0.30625,1.835417,0.339184,0.339592
